Name,Price,Brand
amazon basics 128Gb Ultra Fast USB 3.1 Flash Drive 1 Pack,749,amazon basics
"Verilux® Flash Drive 64GB 4 in 1 Pendrive with Light-ning, Micro USB, USB A, Type-C Interface Mini Hangable Pen Drive for iOS & Android Compatible with Phone, Pad, Android, PC and More Devices","1,349",Verilux
"HP v236w USB 2.0 64GB Pen Drive,",399,HP
SanDisk Cruzer Blade 64GB USB 2.0 Flash Drive,389,SanDisk
HP v222w 64GB USB 2.0 Pen Drive (Silver),359,HP
"Amazon Basics 64 GB Flash Drive | USB 2.0 E Series | Temperature, Shock and Vibration Resistant | Plastic Body Finish",309,amazon basics
"SanDisk Ultra Flair 64GB USB 3.0 Pen Drive, Multicolor",479,SanDisk
SanDisk Cruzer Blade 32GB USB Flash Drive,329,SanDisk
HP USB 2.0 Flash Drive 128GB (v236w),729,HP
HP 712w 64GB USB 3.2 Flash Drive- Blue,479,HP
HP x796w 64GB USB 3.2 Flash Drive,799,HP
HP 886C 256GB OTG Flash Drive 3.2 Rock/Metallic Swivel Design/Durable Metal Material,"2,999",HP
HP 712w 64GB USB 3.2 Flash Drive- Black,499,HP
"SanDisk Ultra Dual Drive Go usb3.0 Type C Pendrive for Mobile (Black, 64 GB, 5Y - SDDDC3-064G-I35)",699,SanDisk
SanDisk ® Ultra Curve USB 3.2 64GB 100MB/s R Navy Blue,449,SanDisk
"SanDisk Ultra 64 GB USB 3.0 Pen Drive (SDCZ48-064G-135/SDCZ48-064G-UAM46, Black)",459,SanDisk
HP v222w 32GB USB 2.0 Pen Drive (Silver),329,HP
"SanDisk Ultra Dual Drive Luxe Type C, Gold, 128GB, Up to 400MB/s Transfer Speed, USB 3.2 Gen 1, 5 Y Warranty","1,199",SanDisk
Geonix Pendrive I Silver I USB 2.0 I Keyring Design I Lightweight I Variant 8GB I 5 Years Warranty,219,GEONIX
SanDisk SDCZ50-128G-I35 USB2.0 128 GB Pen Drive (Red and Black),729,SanDisk
HP x796w 256GB USB 3.2 Flash Drive,"2,749",HP
Amazon Basics 64 GB Flash Drive | USB 3.0 | Upto 150 MB/s | Silver,529,amazon basics
"SanDisk Extreme 128GB microSDXC UHS-I, V30, 190MB/s Read,90MB/s Write, Memory Card for 4K Video on Smartphones, Action Cams and Drones","1,199",SanDisk
"SAMSUNG EVO Plus 64GB Micro SDXC w/SD Adaptor, Up-to 160MB/s, Expanded Storage for Gaming Devices, Android Tablets and Smart Phones, Memory Card, MB-MC64SA/IN",549,Samsung
"SanDisk Ultra 64GB microSDXC UHS-I, 140MB/s R, Memory Card, 10 Y Warranty, for Smartphones",548,SanDisk
"SAMSUNG EVO Plus 64GB Micro SDXC w/SD Adaptor, Up-to 160MB/s, Expanded Storage for Gaming Devices, Android Tablets and Smart Phones, Memory Card, MB-MC64SA/IN",549,Samsung
"SanDisk Ultra 128GB microSDXC UHS-I, 140MB/s R, Memory Card, 10 Y Warranty, for Smartphones",999,SanDisk
"SAMSUNG EVO Plus 128GB Micro SDXC w/SD Adaptor, Up-to 160MB/s, Expanded Storage for Gaming Devices, Android Tablets and Smart Phones, Memory Card, MB-MC128SA/IN",999,Samsung
"Amazon Basics 32GB MicroSDHC Memory Card with Adapter, Upto 98MB/s, IPX6, Temperature & Shock Resistant",369,amazon basics
"HP 64GB MicroSD Memory Card SDXC mx310 Class 10, UHS-I, U1 Card, Upto 100MB/s R, 10 Y Warranty",499,HP
"SanDisk Ultra microSD UHS-I Card 32GB, 120MB/s R",409,SanDisk
"SanDisk Ultra 256GB microSDXC UHS-I, 150MB/s R, Memory Card, 10 Y Warranty, for Smartphones","1,799",SanDisk
"Amazon Basics 32GB MicroSDHC Memory Card with Adapter, Upto 98MB/s, IPX6, Temperature & Shock Resistant",369,amazon basics
"Amazon Basics 128 GB Micro SD Card with Adapter | Upto 120 MB/s | Class 10 | U1, C10, V10 Speed Classes",929,amazon basics
"HP 128GB MicroSD Memory Card SDXC mx310 Class 10, UHS-I, U1 Card, Upto 100MB/s R, 10 Y Warranty",849,HP
"CP PLUS 64GB microSDXC Memory Card Grade UHS-3 Class 10, Up to 70 Mbps Reading & 30 Mbps Writing Speed with High Performance of Data Transfer & Lower Power Consumption for Portable Devices| CP-NM64",549,CP PLUS
"SAMSUNG EVO Plus 256GB Micro w/SD Adaptor SDXC, Up-to 160MB/s, Expanded Storage for Gaming Devices, Android Tablets and Smart Phones, Memory Card, MB-MC256SA/IN","1,849",Samsung
"SanDisk Extreme 128GB microSDXC UHS-I, V30, 190MB/s Read,90MB/s Write, Memory Card for 4K Video on Smartphones, Action Cams and Drones","1,199",SanDisk
"HP 32GB MicroSD Memory Card SDHC mi210 Class 10, UHS-I, U1 Card, Upto 100MB/s R, 2 Y Warranty",399,HP
"SanDisk Extreme Pro 256GB microSDXC UHS-I, V30, 200MB/s Read, 140MB/s Write, Memory Card for 4K Video on Smartphones, Action Cams and Drones","2,899",SanDisk
"Micro SD Card 512GB with SD Adapter High Speed Class 10 for Android Smartphone TF Card 512GB Memory Card for Digital Camera,Tablet and Drone","1,299",KingStick
"SanDisk Extreme 64GB microSDXC UHS-I, V30, 170MB/s Read,80MB/s Write, Memory Card for 4K Video on Smartphones, Action Cams and Drones",699,SanDisk
"CP PLUS 64GB microSDXC Memory Card Grade UHS-3 Class 10, Up to 70 Mbps Reading & 30 Mbps Writing Speed with High Performance of Data Transfer & Lower Power Consumption for Portable Devices| CP-NM64",549,CP PLUS
"Amazon Basics 256 GB Micro SDXC Memory Card | 180 MB/s Read | Memory Card for 4K Video on Smartphones, Action Cams and Drones","2,099",amazon basics
